Year,Division,Number_of_Hospitals,Number_of_Beds,Crude_Birth_Rate,GDP_per_Capita_USD,Dengue_Cases,Beds_per_1000_Pop,Hospitals_per_100k_Pop,Avg_Beds_per_Hospital,Bed_Occupancy_Rate_Pct,Urban_Population_Pct,Area_km2,Population_Share_Pct,Tertiary_Hospitals,District_Hospitals,Upazila_Health_Complexes,Private_Clinics,Specialized_Hospitals,NGO_Facilities,Community_Health_Clinics,Diagnostic_Centers,Dengue_Rate_per_100k,Dengue_Category,Dengue_Waste_Adjustment,Birth_Rate_Category,GDP_Category,GDP_Growth_Pct,Waste_Mgmt_Coverage_Pct,Proper_Segregation_Pct,Facilities_with_Incinerator,Facilities_with_Autoclave,General_Waste_kg_day,Infectious_Waste_kg_day,Sharps_Waste_kg_day,Pharmaceutical_Waste_kg_day,Chemical_Waste_kg_day,Cytotoxic_Waste_kg_day,Pathological_Waste_kg_day,Radioactive_Waste_kg_day,Total_Hazardous_Waste_kg_day,Total_Medical_Waste_kg_day,Waste_per_Bed_kg_day,Hazardous_Waste_Pct
2000,Dhaka,749,30231,26.44,425.0,5088,573.643,142.13,40.4,69.0,50.0,20594,31.0,67,143,144,218,57,50,45,31,9.65,Moderate,1.0946,High,Low Income,0.0,37.4,47.8,69,36,41700.57,12363.07,1143.42,510.84,448.29,222.65,1416.56,32.832,16137.67,57838.24,1.9132,27.9
2000,Chattogram,357,13707,26.49,414.1,2039,403.147,105.0,38.4,71.0,28.0,33771,20.0,27,69,73,85,29,24,20,18,6.0,Moderate,1.0816,High,Low Income,0.0,33.9,45.4,26,33,18616.85,6295.64,551.8,228.95,189.64,130.92,467.44,7.119,7871.5,26488.36,1.9325,29.72
2000,Rajshahi,189,6627,25.99,404.0,382,354.385,101.07,35.1,83.9,15.0,18197,11.0,14,32,40,54,14,13,11,10,2.04,Low,1.0832,High,Low Income,0.0,31.7,43.9,10,10,10809.93,3333.26,301.18,193.42,173.98,43.66,385.09,8.487,4439.08,15249.01,2.301,29.11
2000,Sylhet,146,4575,26.7,440.9,338,384.454,122.69,31.3,84.4,20.0,12598,7.0,12,30,26,39,11,9,7,7,2.84,Low,1.0867,High,Low Income,0.0,33.3,45.1,12,16,8596.01,2144.09,206.44,132.09,76.74,39.37,255.35,5.867,2859.95,11455.96,2.504,24.96
2000,Khulna,203,6521,25.48,419.8,538,383.588,119.41,32.1,46.7,24.0,22285,10.0,17,37,43,65,15,13,11,9,3.16,Low,1.086,High,Low Income,0.0,33.4,45.1,18,19,6465.99,2011.76,190.81,140.51,76.2,47.28,253.18,8.308,2728.05,9194.04,1.4099,29.67
2000,Barisal,101,4024,26.13,428.3,119,473.412,118.82,39.8,64.0,12.0,13644,5.0,7,16,21,29,8,9,6,5,1.4,Low,1.0681,High,Low Income,0.0,31.8,44.1,3,6,4926.95,1613.27,138.75,61.38,50.64,28.26,129.4,2.186,2023.89,6950.85,1.7273,29.12
2000,Rangpur,173,7253,25.75,424.8,244,426.647,101.76,41.9,61.6,13.0,16317,10.0,14,33,31,47,13,11,11,8,1.44,Low,1.0875,High,Low Income,0.0,31.9,44.1,13,17,9154.25,2436.55,251.14,143.25,107.12,48.12,226.35,9.832,3222.36,12376.61,1.7064,26.04
2000,Mymensingh,161,6518,26.2,401.5,154,639.02,157.84,40.5,73.7,10.0,10584,6.0,14,26,37,38,12,11,9,7,1.51,Low,1.0735,High,Low Income,0.0,30.9,43.4,11,17,10277.63,2795.47,249.11,198.27,99.01,64.51,362.07,6.762,3775.21,14052.84,2.156,26.86
2001,Dhaka,802,31756,25.95,458.1,1813,602.581,152.18,39.6,72.5,51.0,20594,31.0,59,168,147,202,70,59,50,42,3.44,Moderate,1.077,High,Low Income,9.59,38.3,48.5,35,107,45466.32,13516.07,1285.53,898.41,467.87,190.62,1237.76,18.756,17615.02,63081.34,1.9864,27.92
2001,Chattogram,392,13625,25.59,459.9,844,400.735,115.29,34.8,80.9,28.4,33771,20.0,31,72,82,106,31,27,23,18,2.48,Low,1.0771,High,Low Income,10.02,35.0,46.3,19,25,22618.61,6917.17,629.17,342.6,329.2,144.17,842.32,12.913,9217.54,31836.15,2.3366,28.95
2001,Rajshahi,205,7373,24.72,443.2,186,394.278,109.63,36.0,50.7,15.3,18197,11.0,16,37,39,60,14,14,12,10,0.99,Low,1.0922,High,Low Income,6.03,32.6,44.7,20,18,8298.17,2483.55,218.53,121.38,114.9,77.89,245.6,4.298,3266.15,11564.32,1.5685,28.24
2001,Sylhet,161,5024,26.43,418.4,113,422.185,135.29,31.2,49.3,20.3,12598,7.0,10,28,28,47,13,10,9,7,0.95,Low,1.0659,High,Low Income,0.1,32.8,44.7,5,12,4652.31,1532.57,125.6,58.02,42.32,36.12,194.43,5.008,1994.07,6646.38,1.3229,30.0
2001,Khulna,209,6613,25.9,466.2,226,389.0,122.94,31.6,77.1,24.3,22285,10.0,14,38,39,51,15,13,14,11,1.33,Low,1.0823,High,Low Income,11.53,34.5,46.0,16,19,8634.34,3206.19,274.69,149.3,152.92,79.13,231.17,9.622,4103.02,12737.36,1.9261,32.21
2001,Barisal,106,4301,25.86,427.7,53,506.0,124.71,40.6,59.1,12.3,13644,5.0,8,19,19,25,7,7,6,4,0.62,Low,1.0687,High,Low Income,2.32,31.8,44.1,9,7,4491.16,1394.14,119.32,82.68,40.94,29.68,147.16,6.115,1820.03,6311.19,1.4674,28.84
2001,Rangpur,198,7391,25.35,440.0,92,434.765,116.47,37.3,76.6,13.3,16317,10.0,16,34,43,53,13,12,10,9,0.54,Low,1.0749,High,Low Income,5.26,32.3,44.4,14,10,11996.36,3746.77,273.43,165.39,205.45,110.64,327.75,8.306,4837.74,16834.1,2.2776,28.74
2001,Mymensingh,181,6543,25.46,453.9,64,641.471,177.45,36.1,58.4,10.2,10584,6.0,15,36,37,58,13,11,9,10,0.63,Low,1.0693,High,Low Income,8.59,32.1,44.3,5,24,8547.82,2623.51,233.98,148.68,134.94,61.39,197.27,4.744,3404.51,11952.33,1.8267,28.48
2002,Dhaka,758,30871,25.51,483.0,4872,585.787,143.83,40.7,74.6,51.9,20594,31.0,59,120,148,207,47,52,44,40,9.24,Moderate,1.0807,High,Low Income,9.77,39.1,49.0,27,67,44325.79,13849.23,1177.02,900.55,490.91,192.71,1680.29,43.469,18334.18,62659.97,2.0297,29.26
2002,Chattogram,383,14329,24.54,438.1,2715,421.441,112.65,37.4,60.6,28.9,33771,20.0,32,62,73,111,27,28,22,18,7.99,Moderate,1.0968,High,Low Income,-0.43,34.6,45.9,18,48,17314.9,5412.55,475.98,339.48,271.12,82.6,542.32,14.359,7138.4,24453.3,1.7066,29.19
2002,Rajshahi,198,7955,25.08,457.7,465,425.401,105.88,40.2,67.1,15.6,18197,11.0,16,30,35,58,16,13,11,10,2.49,Low,1.0902,High,Low Income,4.02,33.0,45.0,19,20,10795.65,3341.8,285.96,152.41,144.59,90.46,280.76,5.066,4301.05,15096.71,1.8978,28.49
2002,Sylhet,152,5440,24.62,458.6,459,457.143,127.73,35.8,69.9,20.7,12598,7.0,11,27,36,42,13,10,9,8,3.86,Low,1.1049,High,Low Income,4.23,33.8,45.5,7,9,8057.86,2375.72,233.77,138.4,74.21,43.09,212.8,5.991,3083.99,11141.85,2.0481,27.68
2002,Khulna,205,6604,24.56,438.2,631,388.471,120.59,32.2,58.6,24.7,22285,10.0,17,35,41,55,15,13,12,9,3.71,Low,1.0898,High,Low Income,-0.41,33.9,45.5,9,21,8257.55,2349.65,228.64,151.2,84.97,77.89,289.22,2.776,3184.34,11441.89,1.7326,27.83
2002,Barisal,108,4216,25.08,446.2,160,496.0,127.06,39.0,88.4,12.5,13644,5.0,9,19,21,31,7,7,6,5,1.88,Low,1.0816,High,Low Income,1.41,32.3,44.4,9,6,7127.78,2313.02,210.23,94.96,123.7,52.93,220.68,5.317,3020.84,10148.62,2.4072,29.77
2002,Rangpur,201,7579,24.41,439.7,227,445.824,118.24,37.7,45.1,13.6,16317,10.0,15,36,40,61,19,13,11,10,1.34,Low,1.0726,High,Low Income,-0.07,32.3,44.4,19,10,7813.28,2436.81,217.46,127.44,95.6,53.15,291.2,8.777,3230.44,11043.72,1.4571,29.25
2002,Mymensingh,185,7562,24.95,456.6,191,741.373,181.37,40.9,50.5,10.4,10584,6.0,15,33,35,52,16,11,11,8,1.87,Low,1.0813,High,Low Income,3.77,32.2,44.4,11,12,7201.86,2534.98,204.99,110.86,119.67,39.55,224.02,6.0,3240.08,10441.94,1.3808,31.03
2003,Dhaka,821,34916,24.48,472.4,2592,662.543,155.79,42.5,35.5,52.9,20594,31.0,67,153,171,238,69,63,50,43,4.92,Moderate,1.0833,High,Low Income,2.25,39.0,48.9,82,101,27275.51,7470.24,642.14,579.13,339.07,250.06,897.86,10.287,10188.78,37464.3,1.073,27.2
2003,Chattogram,419,15486,24.7,514.4,872,455.471,123.24,37.0,75.0,29.3,33771,20.0,30,73,95,123,31,30,27,22,2.56,Low,1.0603,High,Low Income,11.34,36.4,47.4,24,19,26316.45,7737.3,658.18,559.58,433.88,131.53,765.21,8.668,10294.35,36610.8,2.3641,28.12
2003,Rajshahi,211,8229,24.9,479.9,185,440.053,112.83,39.0,86.9,15.9,18197,11.0,16,42,38,52,17,16,14,10,0.99,Low,1.0695,High,Low Income,3.87,33.6,45.4,20,29,15598.25,4423.31,366.67,340.87,166.15,135.77,422.52,6.573,5861.87,21460.12,2.6079,27.32
2003,Sylhet,155,5713,24.37,490.3,187,480.084,130.25,36.9,61.2,21.0,12598,7.0,12,25,33,41,10,10,10,8,1.57,Low,1.0828,High,Low Income,6.13,34.6,46.1,10,17,7350.35,2046.79,185.53,141.01,70.18,42.49,265.06,6.039,2757.09,10107.44,1.7692,27.28
2003,Khulna,220,6977,24.9,461.1,252,410.412,129.41,31.7,37.5,25.0,22285,10.0,18,41,44,63,20,15,13,11,1.48,Low,1.0695,High,Low Income,-0.19,34.5,46.0,7,12,5885.41,1797.26,148.04,105.01,76.68,53.65,168.82,12.769,2362.22,8247.63,1.1821,28.64
2003,Barisal,116,4552,24.06,492.6,66,535.529,136.47,39.2,87.3,12.8,13644,5.0,8,18,26,35,8,9,7,5,0.78,Low,1.065,High,Low Income,6.62,33.4,45.3,8,11,8301.59,2581.81,222.99,155.67,85.94,39.18,307.81,2.588,3395.98,11697.57,2.5698,29.03
