Year,Division,Number_of_Hospitals,Number_of_Beds,Crude_Birth_Rate,GDP_per_Capita_USD,Dengue_Cases,Beds_per_1000_Pop,Hospitals_per_100k_Pop,Avg_Beds_per_Hospital,Bed_Occupancy_Rate_Pct,Urban_Population_Pct,Area_km2,Population_Share_Pct,Tertiary_Hospitals,District_Hospitals,Upazila_Health_Complexes,Private_Clinics,Specialized_Hospitals,NGO_Facilities,Community_Health_Clinics,Diagnostic_Centers,Dengue_Rate_per_100k,Dengue_Category,Dengue_Waste_Adjustment,Birth_Rate_Category,GDP_Category,GDP_Growth_Pct,Waste_Mgmt_Coverage_Pct,Proper_Segregation_Pct,Facilities_with_Incinerator,Facilities_with_Autoclave,General_Waste_kg_day,Infectious_Waste_kg_day,Sharps_Waste_kg_day,Pharmaceutical_Waste_kg_day,Chemical_Waste_kg_day,Cytotoxic_Waste_kg_day,Pathological_Waste_kg_day,Radioactive_Waste_kg_day,Total_Hazardous_Waste_kg_day,Total_Medical_Waste_kg_day,Waste_per_Bed_kg_day,Hazardous_Waste_Pct
2000,Barisal,101.0,4024.0,26.13,428.3,119.0,473.412,118.82,39.8,64.0,12.0,13644.0,5.0,7.0,19.78103075822228,21.0,24.360410239108774,8.0,9.0,6.0,5.0,1.4000000000000004,Low,1.0681,High,Low Income,5.94,31.8,44.1,3.0,6.0,4926.950000000001,1613.2700000000004,145.16684165401125,61.379999999999995,50.639999999999986,28.25999999999999,129.39999999999998,2.186,2023.8899999999994,6950.8499999999985,1.7273,29.12
2001,Barisal,106.0,4301.0,25.86,427.7,53.0,506.0,124.71,40.6,59.1,12.0,13644.0,5.0,8.0,19.0,19.0,25.156576884636067,7.0,7.0,6.0,4.0,0.6199999999999992,Low,1.0687,High,Low Income,2.32,31.8,44.1,3.5847933860994807,7.0,4491.16,1394.1400000000003,119.31999999999994,82.68,40.94,36.230918001196926,147.15999999999997,6.115,1820.0300000000007,6311.189999999999,1.4674,28.84
2002,Barisal,108.0,4216.0,25.08,446.2,160.0,496.0,127.06,39.0,88.4,12.5,13644.0,5.0,9.219995494557441,19.0,18.060971370525678,31.0,7.0,7.0,6.0,4.595201325105336,1.8800000000000008,Low,1.0816,High,Low Income,1.41,32.3,44.4,9.0,9.3344928544884,7127.779999999999,2171.1925033337166,210.22999999999996,94.95999999999998,123.69999999999996,52.93000000000001,220.68000000000006,5.317,3020.84,10148.620000000003,2.4072,28.185881152465694
2003,Barisal,108.0,4552.0,24.06,492.6,66.0,535.529,136.47,39.2,87.3,12.8,13644.0,5.0,8.0,18.0,26.0,35.0,8.0,9.0,8.76343038618933,5.0,0.7799999999999994,Low,1.065,High,Low Income,6.62,33.4,45.3,8.0,11.000000000000004,8301.59,2581.8099999999995,222.98999999999995,155.66999999999996,85.94,39.18000000000001,307.81,2.587999999999999,3207.1883955385347,11697.57,2.5698,29.03
2004,Barisal,121.0,4541.0,24.0,514.5,88.0,534.235,142.35,37.5,54.0,13.0,13644.0,5.0,8.0,22.0,26.0,32.0,9.0,8.0,6.0,5.675635817645016,1.040000000000001,Low,1.0709,High,Low Income,6.62,34.0,45.7,5.254716698408455,13.353478665979779,5253.0,1116.7734642116257,121.33000000000004,63.54000000000002,59.54885251847492,48.849999999999994,184.34000000000003,3.5463449608852624,1890.0599999999995,7143.060000000001,1.573,26.46
2005,Barisal,125.0,4861.0,22.94,571.2,-69.93076461322198,571.882,147.06,38.9,40.4,13.0,13644.0,5.0,9.0,21.0,25.0,38.0,8.0,8.0,7.0,6.0,0.75,Low,1.0771,Medium-High,Low Income,10.06,35.3,46.8,5.0,13.0,3888.25,1077.6099999999997,94.78999999999996,60.758796830722304,54.68000000000001,27.47999999999999,116.61000000000001,4.854000000000001,1434.880000000001,5323.130000000001,1.2335614432376283,26.96
2006,Barisal,137.0,5024.0,22.48,597.6,60.0,591.059,161.18,36.7,82.0,13.6,13644.0,5.0,11.492079012859755,27.0,26.567899719993626,40.0,10.0,10.0,7.0,6.0,0.7099999999999991,Low,1.0857,Medium-High,Low Income,7.48,36.0,47.3,5.0,11.000000000000004,8317.579999999998,2460.04,226.58000000000004,120.10000000000002,121.10999999999999,59.65990609836473,271.93,6.645,3239.96,11557.529999999999,2.3005,28.13592048033212
2007,Barisal,146.0,5559.0,22.95,648.6,251.60635825617464,654.0,171.76,38.1,86.5,13.8,13644.0,5.0,11.0,26.0,27.3091042072121,42.0,12.0,9.989501524435902,9.0,6.8573354588749424,-5.1453265449567755,Low,1.0812,Medium-High,Lower Middle,8.46,36.0,48.3,7.0,15.000000000000004,8996.95,3188.08,268.33,162.24,91.82,47.829999999999984,292.3,1.6720000000000006,4052.2700000000013,13049.220000000001,2.3474,31.05
2008,Barisal,155.0,6190.0,22.45,666.6,224.0,728.235,182.35,39.9,86.2,14.1,13644.0,5.0,13.629469691444388,29.0,32.0,45.0,12.0,11.0,7.0,7.0,2.6400000000000006,Low,1.0711,Medium-High,Lower Middle,3.35,37.7,48.6,13.0,11.000000000000004,10835.7,3499.12,310.12,213.73,178.82,82.38,261.43,9.175,4554.77,15390.470000000001,2.3621859813486834,29.59
2009,Barisal,163.0,6042.0,21.88,666.6,135.0,710.824,191.76,37.1,64.2,14.3,13644.0,5.0,14.0,27.0,31.0,46.0,11.0,11.0,10.0,7.0,1.5899999999999999,Low,1.0903,Medium-High,Lower Middle,11.63,40.4,50.8,7.0,8.0,8466.348016599411,2778.324934760186,213.65999999999997,128.87,126.51999999999995,47.360000000000014,214.99,2.6129999999999995,3280.0200000000004,11698.830000000002,1.9363,28.382413308125034
