Column,Layer,N_Imputed,RMSE,NRMSE,R2
Population_Share_Pct,KNN,9,1.86,0.124,0.8178
Area_km2,KNN,9,4414.6819,0.1904,0.6651
Avg_Beds_per_Hospital,KNN,9,3.7566,0.2521,0.2981
Bed_Occupancy_Rate_Pct,KNN,9,10.8603,0.2912,0.1479
Dengue_Waste_Adjustment,KNN,9,0.0082,0.4229,-0.7825
Total_Medical_Waste_kg_day,MICE,23,184.9745,0.0008,1.0
General_Waste_kg_day,MICE,23,536.7373,0.0045,0.9996
Specialized_Hospitals,MICE,23,3.2102,0.0208,0.9945
Upazila_Health_Complexes,MICE,23,8.0265,0.0231,0.9889
Infectious_Waste_kg_day,MICE,23,629.4913,0.0305,0.9819
NGO_Facilities,MICE,23,4.4719,0.0349,0.9853
Sharps_Waste_kg_day,MICE,23,102.1129,0.036,0.9652
Diagnostic_Centers,MICE,23,1.6899,0.036,0.9705
Private_Clinics,MICE,23,15.1216,0.0382,0.9815
District_Hospitals,MICE,23,10.9099,0.0383,0.9776
Total_Hazardous_Waste_kg_day,MICE,23,418.3593,0.0426,0.9806
Chemical_Waste_kg_day,MICE,23,68.7379,0.0456,0.9701
Tertiary_Hospitals,MICE,23,3.318,0.0572,0.9566
Pathological_Waste_kg_day,MICE,23,304.8399,0.0585,0.9315
Community_Health_Clinics,MICE,23,3.4808,0.059,0.9633
Pharmaceutical_Waste_kg_day,MICE,23,90.4265,0.0728,0.9315
Facilities_with_Incinerator,MICE,23,13.1354,0.0938,0.8544
Waste_per_Bed_kg_day,MICE,23,0.1605,0.0974,0.8841
Cytotoxic_Waste_kg_day,MICE,23,81.929,0.1181,0.8524
Radioactive_Waste_kg_day,MICE,23,4.7805,0.1222,0.6804
Hazardous_Waste_Pct,MICE,23,0.9363,0.1496,0.4503
Facilities_with_Autoclave,MICE,23,19.4989,0.15,0.6903
Dengue_Rate_per_100k,MICE,23,78.1393,0.1671,0.3715
Dengue_Cases,MICE,23,6910.9699,0.2728,0.238
Urban_Population_Pct,Time-series,15,0.4139,0.0201,0.9962
Number_of_Beds,Time-series,15,1635.5464,0.0234,0.996
Number_of_Hospitals,Time-series,15,20.01,0.0238,0.989
Beds_per_1000_Pop,Time-series,15,53.6624,0.056,0.9643
Waste_Mgmt_Coverage_Pct,Time-series,15,3.2993,0.0586,0.9683
Hospitals_per_100k_Pop,Time-series,15,13.7869,0.0643,0.9513
Crude_Birth_Rate,Time-series,15,0.6391,0.0888,0.9401
GDP_per_Capita_USD,Time-series,15,212.2715,0.0964,0.8776
Proper_Segregation_Pct,Time-series,15,4.5273,0.1041,0.9033
GDP_Growth_Pct,Time-series,15,5.8281,0.3388,-0.5928
